model_label,rep,family,false_safe_rate,false_safe_rate_q95_event,false_unsafe_rate,coverage,true_exceed_rate,event_count
Ridge direct,7,6F soft-first-story T=1.8s,0.0,0.0,0.14384057971014494,0.5294713438735178,0.008333333333333333,8
Ridge direct,7,6F uniform T=1.8s,0.0,0.0,0.12173913043478261,0.46823945981554677,0.0,8
Ridge direct,8,3F soft-first-story T=1.8s,0.0064764492753623185,0.03117753623188404,0.13211050724637682,0.5215950263504612,0.03903985507246377,8
Ridge direct,8,3F uniform T=1.8s,0.0,0.0,0.11567028985507247,0.5621253293807642,0.024003623188405796,8
Ridge direct,8,6F soft-first-story T=1.8s,0.0,0.0,0.1136322463768116,0.5402503293807641,0.008333333333333333,8
Ridge direct,8,6F uniform T=1.8s,0.0,0.0,0.09257246376811594,0.49982707509881424,0.0,8
Ridge direct,9,3F soft-first-story T=1.8s,0.0064764492753623185,0.03117753623188404,0.13731884057971014,0.5144165843214756,0.03903985507246377,8
Ridge direct,9,3F uniform T=1.8s,0.0,0.0,0.12139945652173914,0.5506669960474309,0.024003623188405796,8
Ridge direct,9,6F soft-first-story T=1.8s,0.0,0.0,0.12561141304347825,0.5337965250329381,0.008333333333333333,8
Ridge direct,9,6F uniform T=1.8s,0.0,0.0,0.10350996376811594,0.4729804841897233,0.0,8
XGB direct,0,3F soft-first-story T=1.8s,0.011684782608695652,0.03701086956521738,0.008152173913043478,0.5479146080368906,0.03903985507246377,8
XGB direct,0,3F uniform T=1.8s,0.00625,0.02749999999999999,0.002717391304347826,0.50957674571805,0.024003623188405796,8
XGB direct,0,6F soft-first-story T=1.8s,0.00625,0.02749999999999999,0.016304347826086956,0.46963726943346507,0.008333333333333333,8
XGB direct,0,6F uniform T=1.8s,0.0,0.0,0.016304347826086956,0.5166913702239789,0.0,8
XGB direct,1,3F soft-first-story T=1.8s,0.009601449275362318,0.03701086956521738,0.008152173913043478,0.5119400527009222,0.03903985507246377,8
XGB direct,1,3F uniform T=1.8s,0.0020833333333333333,0.010833333333333323,0.01358695652173913,0.5473937747035573,0.024003623188405796,8
XGB direct,1,6F soft-first-story T=1.8s,0.00625,0.02749999999999999,0.016304347826086956,0.46040431488801054,0.008333333333333333,8
XGB direct,1,6F uniform T=1.8s,0.0,0.0,0.016304347826086956,0.5617774209486166,0.0,8
XGB direct,2,3F soft-first-story T=1.8s,0.008559782608695651,0.03409420289855071,0.008152173913043478,0.5291460803689064,0.03903985507246377,8
XGB direct,2,3F uniform T=1.8s,0.0020833333333333333,0.010833333333333323,0.01358695652173913,0.5052762681159421,0.024003623188405796,8
XGB direct,2,6F soft-first-story T=1.8s,0.00625,0.02749999999999999,0.016304347826086956,0.45184453227931487,0.008333333333333333,8
XGB direct,2,6F uniform T=1.8s,0.0,0.0,0.016304347826086956,0.5214550395256917,0.0,8
XGB direct,3,3F soft-first-story T=1.8s,0.011684782608695652,0.03701086956521738,0.008152173913043478,0.4874794137022398,0.03903985507246377,8
XGB direct,3,3F uniform T=1.8s,0.00625,0.03249999999999997,0.008152173913043478,0.5470808629776021,0.024003623188405796,8
XGB direct,3,6F soft-first-story T=1.8s,0.00625,0.02749999999999999,0.021739130434782608,0.5220890974967062,0.008333333333333333,8
XGB direct,3,6F uniform T=1.8s,0.0,0.0,0.016304347826086956,0.5449110671936759,0.0,8
XGB direct,4,3F soft-first-story T=1.8s,0.011684782608695652,0.03701086956521738,0.008152173913043478,0.5502243906455863,0.03903985507246377,8
XGB direct,4,3F uniform T=1.8s,0.0020833333333333333,0.010833333333333323,0.008152173913043478,0.5481678194993412,0.024003623188405796,8
XGB direct,4,6F soft-first-story T=1.8s,0.00625,0.02749999999999999,0.021739130434782608,0.5562747035573122,0.008333333333333333,8
XGB direct,4,6F uniform T=1.8s,0.0,0.0,0.016304347826086956,0.5906497035573123,0.0,8
XGB direct,5,3F soft-first-story T=1.8s,0.013768115942028985,0.042844202898550725,0.01567028985507246,0.5446043313570488,0.03903985507246377,8
XGB direct,5,3F uniform T=1.8s,0.008333333333333333,0.038333333333333316,0.01358695652173913,0.5697875494071146,0.024003623188405796,8
XGB direct,5,6F soft-first-story T=1.8s,0.00625,0.02749999999999999,0.016304347826086956,0.5636610671936759,0.008333333333333333,8
XGB direct,5,6F uniform T=1.8s,0.0,0.0,0.01838768115942029,0.61524209486166,0.0,8
XGB direct,6,3F soft-first-story T=1.8s,0.007518115942028985,0.03117753623188404,0.012952898550724637,0.5416687252964426,0.03903985507246377,8
XGB direct,6,3F uniform T=1.8s,0.0020833333333333333,0.010833333333333323,0.008152173913043478,0.5743906455862977,0.024003623188405796,8
XGB direct,6,6F soft-first-story T=1.8s,0.004166666666666667,0.016666666666666666,0.016304347826086956,0.46800889328063244,0.008333333333333333,8
XGB direct,6,6F uniform T=1.8s,0.0,0.0,0.01838768115942029,0.5776762187088273,0.0,8
XGB direct,7,3F soft-first-story T=1.8s,0.011684782608695652,0.03701086956521738,0.01358695652173913,0.5281517621870883,0.03903985507246377,8
XGB direct,7,3F uniform T=1.8s,0.00625,0.03249999999999997,0.008152173913043478,0.50292325428195,0.024003623188405796,8
XGB direct,7,6F soft-first-story T=1.8s,0.00625,0.02749999999999999,0.016304347826086956,0.5518857048748353,0.008333333333333333,8
XGB direct,7,6F uniform T=1.8s,0.0,0.0,0.016304347826086956,0.5508399209486166,0.0,8
XGB direct,8,3F soft-first-story T=1.8s,0.011684782608695652,0.03701086956521738,0.008152173913043478,0.4646306818181818,0.03903985507246377,8
XGB direct,8,3F uniform T=1.8s,0.0020833333333333333,0.010833333333333323,0.008152173913043478,0.44645092226613964,0.024003623188405796,8
XGB direct,8,6F soft-first-story T=1.8s,0.00625,0.02749999999999999,0.016304347826086956,0.4940320322793149,0.008333333333333333,8
XGB direct,8,6F uniform T=1.8s,0.0,0.0,0.016304347826086956,0.514363059947299,0.0,8
XGB direct,9,3F soft-first-story T=1.8s,0.009601449275362318,0.03701086956521738,0.002717391304347826,0.5166460803689065,0.03903985507246377,8
XGB direct,9,3F uniform T=1.8s,0.0020833333333333333,0.010833333333333323,0.002717391304347826,0.5314126317523057,0.024003623188405796,8
XGB direct,9,6F soft-first-story T=1.8s,0.008333333333333333,0.038333333333333316,0.016304347826086956,0.4551959815546772,0.008333333333333333,8
XGB direct,9,6F uniform T=1.8s,0.0,0.0,0.016304347826086956,0.4603096179183136,0.0,8
