protocol,model,model_label,threshold_idr,cost_ratio_false_safe,event_count,true_exceed_rate,false_safe_rate,false_unsafe_rate,expected_loss,beta_false_safe_cons,false_safe_ci95_hi,false_unsafe_rate_rel,eligible,fallback_workload
event-disjoint target,lgbm_direct,LGBM direct,0.02,100,8,0.0,0.0,0.0084918478260869,0.0084918478260869,4.753424308822899,0.0,0.0084918478260869,True,0.0084918478260869
event-disjoint target,lgbm_direct,LGBM direct,0.03,1,8,0.0,0.0,0.0007133152173913,0.0007133152173913,4.753424308822899,0.0,0.0007133152173913,True,0.0007133152173913
event-disjoint target,lgbm_direct,LGBM direct,0.03,2,8,0.0,0.0,0.0007133152173913,0.0007133152173913,4.753424308822899,0.0,0.0007133152173913,True,0.0007133152173913
event-disjoint target,lgbm_direct,LGBM direct,0.03,5,8,0.0,0.0,0.0007133152173913,0.0007133152173913,4.753424308822899,0.0,0.0007133152173913,True,0.0007133152173913
event-disjoint target,lgbm_direct,LGBM direct,0.03,10,8,0.0,0.0,0.0007133152173913,0.0007133152173913,4.753424308822899,0.0,0.0007133152173913,True,0.0007133152173913
event-disjoint target,lgbm_direct,LGBM direct,0.03,25,8,0.0,0.0,0.0007133152173913,0.0007133152173913,4.753424308822899,0.0,0.0007133152173913,True,0.0007133152173913
event-disjoint target,lgbm_direct,LGBM direct,0.03,50,8,0.0,0.0,0.0007133152173913,0.0007133152173913,4.753424308822899,0.0,0.0007133152173913,True,0.0007133152173913
event-disjoint target,lgbm_direct,LGBM direct,0.03,100,8,0.0,0.0,0.0007133152173913,0.0007133152173913,4.753424308822899,0.0,0.0007133152173913,True,0.0007133152173913
event-disjoint target,lgbm_direct,LGBM direct,0.04,1,8,0.0,0.0,0.0,0.0,4.753424308822899,0.0,0.0,True,0.0
event-disjoint target,lgbm_direct,LGBM direct,0.04,2,8,0.0,0.0,0.0,0.0,4.753424308822899,0.0,0.0,True,0.0
event-disjoint target,lgbm_direct,LGBM direct,0.04,5,8,0.0,0.0,0.0,0.0,4.753424308822899,0.0,0.0,True,0.0
event-disjoint target,lgbm_direct,LGBM direct,0.04,10,8,0.0,0.0,0.0,0.0,4.753424308822899,0.0,0.0,True,0.0
event-disjoint target,lgbm_direct,LGBM direct,0.04,25,8,0.0,0.0,0.0,0.0,4.753424308822899,0.0,0.0,True,0.0
event-disjoint target,lgbm_direct,LGBM direct,0.04,50,8,0.0,0.0,0.0,0.0,4.753424308822899,0.0,0.0,True,0.0
event-disjoint target,lgbm_direct,LGBM direct,0.04,100,8,0.0,0.0,0.0,0.0,4.753424308822899,0.0,0.0,True,0.0
event-disjoint target,pretrained_finetune,MLP finetune,0.005,1,8,0.0677083333333333,0.0027740036231884,0.1137426403985507,0.1165166440217391,2.534594496861053,0.0056288779438405,0.1137426403985507,True,0.1786769701086956
event-disjoint target,pretrained_finetune,MLP finetune,0.005,2,8,0.0677083333333333,0.0027740036231884,0.1137426403985507,0.1192906476449275,2.534594496861053,0.0056288779438405,0.1137426403985507,True,0.1786769701086956
event-disjoint target,pretrained_finetune,MLP finetune,0.005,5,8,0.0677083333333333,0.0027740036231884,0.1137426403985507,0.1276126585144927,2.534594496861053,0.0056288779438405,0.1137426403985507,True,0.1786769701086956
event-disjoint target,pretrained_finetune,MLP finetune,0.005,10,8,0.0677083333333333,0.0027740036231884,0.1137426403985507,0.1414826766304348,2.534594496861053,0.0056288779438405,0.1137426403985507,True,0.1786769701086956
event-disjoint target,pretrained_finetune,MLP finetune,0.005,25,8,0.0677083333333333,0.0027740036231884,0.1137426403985507,0.1830927309782609,2.534594496861053,0.0056288779438405,0.1137426403985507,True,0.1786769701086956
event-disjoint target,pretrained_finetune,MLP finetune,0.005,50,8,0.0677083333333333,0.0027740036231884,0.1137426403985507,0.252442821557971,2.534594496861053,0.0056288779438405,0.1137426403985507,True,0.1786769701086956
event-disjoint target,pretrained_finetune,MLP finetune,0.005,100,8,0.0677083333333333,0.0027740036231884,0.1137426403985507,0.3911430027173913,2.534594496861053,0.0056288779438405,0.1137426403985507,True,0.1786769701086956
event-disjoint target,pretrained_finetune,MLP finetune,0.0075,1,8,0.0354959239130434,0.0040959012681159,0.0885546875,0.0926505887681159,2.4002560960417383,0.0081918025362318,0.0885546875,False,0.1199547101449275
event-disjoint target,pretrained_finetune,MLP finetune,0.0075,2,8,0.0354959239130434,0.0040959012681159,0.0885546875,0.0967464900362318,2.4002560960417383,0.0081918025362318,0.0885546875,False,0.1199547101449275
event-disjoint target,pretrained_finetune,MLP finetune,0.0075,5,8,0.0354959239130434,0.0040959012681159,0.0885546875,0.1090341938405797,2.4002560960417383,0.0081918025362318,0.0885546875,False,0.1199547101449275
event-disjoint target,pretrained_finetune,MLP finetune,0.0075,10,8,0.0354959239130434,0.0040959012681159,0.0885546875,0.1295137001811594,2.4002560960417383,0.0081918025362318,0.0885546875,False,0.1199547101449275
event-disjoint target,pretrained_finetune,MLP finetune,0.0075,25,8,0.0354959239130434,0.0040959012681159,0.0885546875,0.1909522192028985,2.4002560960417383,0.0081918025362318,0.0885546875,False,0.1199547101449275
event-disjoint target,pretrained_finetune,MLP finetune,0.0075,50,8,0.0354959239130434,0.0040959012681159,0.0885546875,0.293349750905797,2.4002560960417383,0.0081918025362318,0.0885546875,False,0.1199547101449275
event-disjoint target,pretrained_finetune,MLP finetune,0.0075,100,8,0.0354959239130434,0.0040959012681159,0.0885546875,0.4981448143115942,2.4002560960417383,0.0081918025362318,0.0885546875,False,0.1199547101449275
event-disjoint target,pretrained_finetune,MLP finetune,0.01,1,8,0.0178442028985507,0.0042068614130434,0.0656810461956521,0.0698879076086956,2.390975624038992,0.0084018342391304,0.0656810461956521,False,0.0793183876811594
event-disjoint target,pretrained_finetune,MLP finetune,0.01,2,8,0.0178442028985507,0.0042068614130434,0.0656810461956521,0.0740947690217391,2.390975624038992,0.0084018342391304,0.0656810461956521,False,0.0793183876811594
event-disjoint target,pretrained_finetune,MLP finetune,0.01,5,8,0.0178442028985507,0.0042068614130434,0.0656810461956521,0.0867153532608695,2.390975624038992,0.0084018342391304,0.0656810461956521,False,0.0793183876811594
