q_log10,rmse_log,coverage_event_equal,p_false_safe,p_false_safe_u95,beta_fs_cons,p_false_unsafe,conditional_miss_event_mean,conditional_miss_pooled,n_unsafe_rows,n_events_with_unsafe,n_test_rows,n_test_events,model,N,rep,subset
0.1235591914687064,0.16006865886275093,0.5595103549077733,0.005004528985507246,0.008970221920289853,2.36684501553991,0.012228260869565218,0.3632390154129284,0.34782608695652173,92,3,2992,8,lgbm_direct,2000,4,all
0.1235591914687064,0.1564246887947169,0.5642477766798419,0.005842391304347826,0.010529891304347826,2.3069109922897626,0.008152173913043478,0.24929971988795518,0.21052631578947367,76,3,1496,8,lgbm_direct,2000,4,3-story
0.1235591914687064,0.16363150013281497,0.5547729331357049,0.004166666666666667,0.009375000000000001,2.350464423109078,0.016304347826086956,1.0,1.0,16,2,1496,8,lgbm_direct,2000,4,6-story
0.1216730819356697,0.1530210798559321,0.5949954710144927,0.00474411231884058,0.008129528985507246,2.4030478907207558,0.012488677536231885,0.382562686910513,0.32608695652173914,92,3,2992,8,lgbm_direct,2000,5,all
0.1216730819356697,0.15502044578990448,0.5714221014492753,0.007404891304347826,0.012839673913043479,2.23102689075638,0.008152173913043478,0.350140056022409,0.2894736842105263,76,3,1496,8,lgbm_direct,2000,5,3-story
0.1216730819356697,0.15099524213580504,0.6185688405797101,0.0020833333333333333,0.004166666666666667,2.63825727347675,0.01682518115942029,0.6666666666666666,0.5,16,2,1496,8,lgbm_direct,2000,5,6-story
0.1165243692414272,0.155721000353206,0.5529016386693018,0.004483695652173913,0.008763586956521739,2.3754582749226496,0.012749094202898551,0.2891649413388544,0.30434782608695654,92,3,2992,8,lgbm_direct,2000,6,all
0.1165243692414272,0.1555618467366078,0.556838768115942,0.005842391304347825,0.011163949275362317,2.2847430532769812,0.009193840579710144,0.19327731092436973,0.21052631578947367,76,3,1496,8,lgbm_direct,2000,6,3-story
0.1165243692414272,0.15587999147389794,0.5489645092226614,0.003125,0.007291666666666667,2.4425642546059603,0.016304347826086956,0.8333333333333333,0.75,16,2,1496,8,lgbm_direct,2000,6,6-story
0.1201466800009174,0.15242050081624944,0.5771430335968379,0.004483695652173913,0.008129528985507246,2.4030478907207558,0.010869565217391304,0.33425350816655164,0.30434782608695654,92,3,2992,8,lgbm_direct,2000,7,all
0.1201466800009174,0.15301235410311395,0.5573863636363636,0.005842391304347826,0.010529891304347826,2.3069109922897626,0.005434782608695652,0.24929971988795518,0.21052631578947367,76,3,1496,8,lgbm_direct,2000,7,3-story
0.1201466800009174,0.1518263403694361,0.5968997035573123,0.003125,0.00625,2.4977054744123723,0.016304347826086956,0.8333333333333333,0.75,16,2,1496,8,lgbm_direct,2000,7,6-story
0.1196457997306268,0.16192196421078794,0.5458487730566535,0.005004528985507246,0.009952445652173913,2.3281358482063395,0.010869565217391304,0.31815044858523117,0.34782608695652173,92,3,2992,8,lgbm_direct,2000,8,all
0.1196457997306268,0.15783663099540363,0.5361433629776021,0.006884057971014493,0.013267663043478243,2.2182861767847633,0.005434782608695652,0.23249299719887953,0.2631578947368421,76,3,1496,8,lgbm_direct,2000,8,3-story
0.1196457997306268,0.16590672953132485,0.5555541831357049,0.003125,0.007291666666666667,2.4425642546059603,0.016304347826086956,0.8333333333333333,0.75,16,2,1496,8,lgbm_direct,2000,8,6-story
0.1180830013899676,0.15774071066213416,0.5027451828063241,0.005004528985507246,0.008913609601449273,2.3691873759928215,0.009510869565217392,0.3632390154129284,0.34782608695652173,92,3,2992,8,lgbm_direct,2000,9,all
0.1180830013899676,0.15325170524214343,0.52597784914361,0.006884057971014493,0.012432065217391304,2.243507132534216,0.005434782608695652,0.288515406162465,0.2631578947368421,76,3,1496,8,lgbm_direct,2000,9,3-story
0.1180830013899676,0.16210545469158474,0.4795125164690382,0.003125,0.00625,2.4977054744123723,0.01358695652173913,0.8333333333333333,0.75,16,2,1496,8,lgbm_direct,2000,9,6-story
0.3022641600422986,0.5832462834997743,0.44855175395256913,0.0016191123188405796,0.004076086956521739,2.645701413211112,0.14995471014492753,0.08465608465608465,0.06521739130434782,92,3,2992,8,ridge_direct,500,0,all
0.3022641600422986,0.5674078963119633,0.4552546525032938,0.0032382246376811592,0.008152173913043478,2.4020305254184104,0.1567028985507246,0.09523809523809523,0.07894736842105263,76,3,1496,8,ridge_direct,500,0,3-story
0.3022641600422986,0.5986657946095054,0.4418488554018445,0.0,0.0,5.9978070150076865,0.14320652173913043,0.0,0.0,16,2,1496,8,ridge_direct,500,0,6-story
0.3057036140709961,0.54928186426827,0.45968482378129116,0.0016191123188405796,0.004076086956521739,2.645701413211112,0.14526721014492752,0.08465608465608465,0.06521739130434782,92,3,2992,8,ridge_direct,500,1,all
0.3057036140709961,0.5253285384817975,0.5156373517786561,0.0032382246376811592,0.008152173913043478,2.4020305254184104,0.14967164855072462,0.09523809523809523,0.07894736842105263,76,3,1496,8,ridge_direct,500,1,3-story
0.3057036140709961,0.572233395988587,0.4037322957839262,0.0,0.0,5.9978070150076865,0.14086277173913045,0.0,0.0,16,2,1496,8,ridge_direct,500,1,6-story
0.3125089156669194,0.3418667729717261,0.5868288866930171,0.0016191123188405796,0.004076086956521739,2.645701413211112,0.0666213768115942,0.08465608465608465,0.06521739130434782,92,3,2992,8,ridge_direct,500,2,all
