q_log10,rmse_log,coverage_event_equal,p_false_safe,p_false_safe_u95,beta_fs_cons,p_false_unsafe,conditional_miss_event_mean,conditional_miss_pooled,n_unsafe_rows,n_events_with_unsafe,n_test_rows,n_test_events,protocol,featureset,rep,N,model
0.4165067073725188,0.772103433773049,0.6761873147233202,0.0,0.0,5.9978070150076865,0.22490375905797103,0.0,0.0,92,3,2992,8,event-disjoint target,base,3,100,ridge_direct
0.37562500427405765,0.25759327287086914,0.7575464221014493,0.00026041666666666666,0.00078125,3.162817965621285,0.07836277173913044,0.014492753623188406,0.021739130434782608,92,3,2992,8,event-disjoint target,base,3,100,lgbm_direct
0.23876747283266697,0.20348725255917074,0.7573729825428195,0.0015624999999999999,0.00390625,2.6600674686174592,0.04420289855072464,0.10950080515297907,0.13043478260869565,92,3,2992,8,event-disjoint target,base,3,100,xgb_direct
0.6082805752305309,1.2046027077754462,0.759663722826087,0.005989583333333334,0.017968750000000002,2.0976338780909223,0.11403934041501976,0.3333333333333333,0.5,92,3,2992,8,event-disjoint target,base,3,100,scratch_mlp
0.3522167788135575,0.6020355772713263,0.5586241147891964,0.0006000905797101449,0.0012001811594202897,3.035626846938886,0.16495697463768116,0.04894179894179893,0.03260869565217391,92,3,2992,8,event-disjoint target,base,3,250,ridge_direct
0.25418279243569986,0.1829960774970453,0.864160799571805,0.0005208333333333333,0.0015625,2.955166847497838,0.05064538043478261,0.028985507246376812,0.043478260869565216,92,3,2992,8,event-disjoint target,base,3,250,lgbm_direct
0.20128286493364467,0.1814562282817389,0.7524137434123848,0.0022135416666666666,0.005859375,2.520502217190359,0.024156476449275363,0.1457326892109501,0.18478260869565216,92,3,2992,8,event-disjoint target,base,3,250,xgb_direct
0.39930475772871477,0.49059677262538004,0.7281147068511199,0.00390625,0.01171875,2.2662268092096522,0.08770946557971016,0.21739130434782608,0.32608695652173914,92,3,2992,8,event-disjoint target,base,3,250,scratch_mlp
0.3181322346199891,0.3967129048112829,0.5486063076416338,0.0016191123188405796,0.004076086956521739,2.645701413211112,0.0943557518115942,0.08465608465608465,0.06521739130434782,92,3,2992,8,event-disjoint target,base,3,500,ridge_direct
0.1828923595863161,0.16910941287874381,0.7142292490118576,0.002864583333333333,0.0078125,2.417559016236505,0.0197463768115942,0.1819645732689211,0.2391304347826087,92,3,2992,8,event-disjoint target,base,3,500,lgbm_direct
0.16672125022690576,0.17434578071576468,0.6781682312252963,0.007087862318840579,0.014639945652173912,2.1796975094784004,0.018183876811594203,0.4791810443984357,0.5217391304347826,92,3,2992,8,event-disjoint target,base,3,500,xgb_direct
0.3369428471992384,0.5705547223593614,0.7430371994400526,0.005078125,0.015234375000000001,2.1639426646500115,0.056855751811594205,0.2826086956521739,0.42391304347826086,92,3,2992,8,event-disjoint target,base,3,500,scratch_mlp
0.2999810395910083,0.41703471333525516,0.5033833580368906,0.0018795289855072462,0.004279891304347826,2.6291530539845853,0.10073596014492753,0.12169312169312169,0.08695652173913043,92,3,2992,8,event-disjoint target,base,3,1000,ridge_direct
0.15171111051350206,0.1677315763434413,0.6515197834321476,0.00396286231884058,0.006680253623188405,2.4740123652642714,0.011390398550724637,0.30526800092017486,0.2608695652173913,92,3,2992,8,event-disjoint target,base,3,1000,lgbm_direct
0.1355655921061394,0.16345974772530458,0.6000705080698288,0.0034420289855072463,0.006306612318840579,2.4945069781544653,0.01358695652173913,0.23119392684610074,0.21739130434782608,92,3,2992,8,event-disjoint target,base,3,1000,xgb_direct
0.29132928035607497,0.5357902582026258,0.7039340415019764,0.005989583333333334,0.011979166666666667,2.2577967597975004,0.04159307065217391,0.3333333333333333,0.5,92,3,2992,8,event-disjoint target,base,3,1000,scratch_mlp
0.28873729224447464,0.507156480195524,0.48826735424901185,0.0016191123188405796,0.004076086956521739,2.645701413211112,0.13211616847826088,0.08465608465608465,0.06521739130434782,92,3,2992,8,event-disjoint target,base,3,2000,ridge_direct
0.12140860158271272,0.15037619683116135,0.5886425395256918,0.004483695652173913,0.008097259963768115,2.4045019475381273,0.016304347826086956,0.33425350816655164,0.30434782608695654,92,3,2992,8,event-disjoint target,base,3,2000,lgbm_direct
0.10768795741993253,0.16047898215882492,0.51640882328722,0.004483695652173913,0.008186141304347826,2.400509123590997,0.01394927536231884,0.3793420749942489,0.30434782608695654,92,3,2992,8,event-disjoint target,base,3,2000,xgb_direct
0.23611098473526848,0.436619352690721,0.7012897315546772,0.007399230072463769,0.018359375,2.088877519076817,0.02754755434782609,0.42460317460317465,0.5652173913043478,92,3,2992,8,event-disjoint target,base,3,2000,scratch_mlp
0.43262963972275825,0.8373069915521683,0.31935369318181817,0.0,0.0,5.9978070150076865,0.27082767210144926,0.0,0.0,92,3,2992,8,event-disjoint target,base,4,50,ridge_direct
0.9486320067342406,0.5059204269416597,0.8317234848484849,0.0,0.0,5.9978070150076865,0.9821557971014493,0.0,0.0,92,3,2992,8,event-disjoint target,base,4,50,lgbm_direct
0.2665244283274584,0.2370565586709803,0.8139096467391305,0.0046875,0.01328125,2.217887558835681,0.03317481884057971,0.2834138486312399,0.391304347826087,92,3,2992,8,event-disjoint target,base,4,50,xgb_direct
0.9620866465159752,1.4849464817443523,0.7673732913372859,0.006329257246376812,0.017968750000000002,2.0976338780909223,0.41098124588274043,0.3452380952380953,0.5108695652173914,92,3,2992,8,event-disjoint target,base,4,50,scratch_mlp
0.26626167892178865,0.35957217365643085,0.4597769474637681,0.00033967391304347825,0.0010190217391304348,3.0846317114179373,0.08170855978260869,0.011904761904761904,0.010869565217391304,92,3,2992,8,event-disjoint target,base,4,100,ridge_direct
0.3415262408977915,0.29091714485650866,0.5689872570816864,0.0020833333333333333,0.00546875,2.5446893306204585,0.06820652173913043,0.13848631239935588,0.17391304347826086,92,3,2992,8,event-disjoint target,base,4,100,lgbm_direct
0.2357384123983466,0.19847322030480172,0.7595299118906456,0.004296875,0.012109375000000002,2.2536411877789395,0.023539402173913045,0.2616747181964573,0.358695652173913,92,3,2992,8,event-disjoint target,base,4,100,xgb_direct
0.5056612135636576,1.8455276517908186,0.68026957756917,0.007008605072463769,0.017968750000000002,2.0976338780909223,0.11811028079710145,0.36904761904761907,0.532608695652174,92,3,2992,8,event-disjoint target,base,4,100,scratch_mlp
0.29113096023487284,0.425114446338775,0.5088490200922267,0.0016191123188405796,0.004076086956521739,2.645701413211112,0.09703351449275362,0.08465608465608465,0.06521739130434782,92,3,2992,8,event-disjoint target,base,4,250,ridge_direct
0.2410781294875548,0.17628604872818426,0.8541779891304349,0.0015624999999999999,0.00390625,2.6600674686174592,0.027915534420289854,0.10950080515297907,0.13043478260869565,92,3,2992,8,event-disjoint target,base,4,250,lgbm_direct
0.19555721781713498,0.19492459434480094,0.7204910861330698,0.003125,0.007031249999999999,2.455662903635565,0.017346014492753623,0.24154589371980675,0.2608695652173913,92,3,2992,8,event-disjoint target,base,4,250,xgb_direct
0.35901345339443624,1.627512328567201,0.5910583415678525,0.007059556159420291,0.018359375,2.088877519076817,0.0809952445652174,0.41269841269841273,0.5543478260869565,92,3,2992,8,event-disjoint target,base,4,250,scratch_mlp
0.3164260920627222,0.5200368496335133,0.5137022397891964,0.0016191123188405796,0.004076086956521739,2.645701413211112,0.13797554347826088,0.08465608465608465,0.06521739130434782,92,3,2992,8,event-disjoint target,base,4,500,ridge_direct
0.17863648087301964,0.18009615960023814,0.694431921113307,0.0018795289855072462,0.004076086956521739,2.645701413211112,0.023963994565217393,0.07660455486542443,0.08695652173913043,92,3,2992,8,event-disjoint target,base,4,500,lgbm_direct
0.16865008504552748,0.17352342879034244,0.6539664649209486,0.004483695652173913,0.009114583333333332,2.360930091138335,0.01682518115942029,0.24407637451115707,0.30434782608695654,92,3,2992,8,event-disjoint target,base,4,500,xgb_direct
0.3299018483365115,1.3206490500700836,0.6237468091238472,0.0064594655797101455,0.018098958333333335,2.094697218419179,0.06098278985507246,0.3637566137566138,0.5217391304347826,92,3,2992,8,event-disjoint target,base,4,500,scratch_mlp
0.30566154866713635,0.4642083299974818,0.5010406373517786,0.001749320652173913,0.004076086956521739,2.645701413211112,0.1174026268115942,0.10317460317460318,0.07608695652173914,92,3,2992,8,event-disjoint target,base,4,1000,ridge_direct
0.1486087993697094,0.15823260447759555,0.6934056941699605,0.004483695652173913,0.008072916666666666,2.405602241453711,0.014945652173913044,0.3793420749942489,0.30434782608695654,92,3,2992,8,event-disjoint target,base,4,1000,lgbm_direct
0.12636683606017662,0.1706039433777401,0.5290307971014493,0.005004528985507246,0.00865036231884058,2.3802536507016656,0.01682518115942029,0.40832758224062565,0.34782608695652173,92,3,2992,8,event-disjoint target,base,4,1000,xgb_direct
0.2588184141938057,0.8209629815795589,0.6985033761528326,0.006719882246376812,0.01830842391304348,2.0900105966002074,0.03313519021739131,0.40079365079365087,0.5434782608695652,92,3,2992,8,event-disjoint target,base,4,1000,scratch_mlp
0.30244004012400083,0.4629136511759724,0.5172178647891963,0.0016191123188405796,0.004076086956521739,2.645701413211112,0.12000679347826088,0.08465608465608465,0.06521739130434782,92,3,2992,8,event-disjoint target,base,4,2000,ridge_direct
0.12114969023635114,0.15540588872091254,0.5423305747694334,0.006046195652173913,0.013077445652173912,2.2239041871190066,0.012228260869565218,0.3761214630779848,0.43478260869565216,92,3,2992,8,event-disjoint target,base,4,2000,lgbm_direct
0.10188937312577862,0.1562867171656572,0.5441776803359684,0.0031816123188405797,0.005785778985507246,2.5249474846933255,0.01358695652173913,0.21670117322291235,0.1956521739130435,92,3,2992,8,event-disjoint target,base,4,2000,xgb_direct
