gm_id,event_id,event_title,event_page_url,zip_url,magnitude,file_name,station,component,problem_flag,structure_type,sample_rate_hz,dt_original_s,n_original,pga_original_g,pga_g,pgv_m_s,pgd_m,arias_m_s,cav_m_s,d5_95_s,tm_s,pgv_pga_s
31,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,k205c_a.smc,K2-05,90,-32768,-32768,200.0,0.005,69600,0.016,0.015975353223768574,0.02884472212394933,0.035459077563398625,0.010862660545080505,1.2844833765767196,32.481972477813144,0.7152463317413873,0.18405468758632335
32,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,k206a_a.smc,K2-06,360,-32768,-32768,200.0,0.005,58600,0.01091131498470948,0.010872268307929929,0.022195741296546116,0.039346769902209824,0.004755671936810837,0.8473280045927147,31.07206055466362,1.1332260916199535,0.20810402753278348
33,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,k206b_a.smc,K2-06,UP,-32768,-32768,200.0,0.005,58600,0.005086952089704383,0.005058370376665534,0.012613258801326153,0.021203362362845913,0.0016102030677652677,0.5066204973200246,32.22697120780311,1.1350712412650978,0.2541836863951723
34,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,k206c_a.smc,K2-06,90,-32768,-32768,200.0,0.005,58600,0.009752089704383283,0.009714021820372022,0.02236375989196923,0.031732570480017645,0.004357214564129998,0.8015864897989352,28.347352824323416,0.7493411918836229,0.23468035621839503
35,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,1397a_a.smc,AK: Anchorage;NOAA Weather Fac,360,-32768,-32768,200.0,0.005,32600,0.019625891946992866,0.019619658979359068,0.04142840690918083,0.04726222305715272,0.015007341175443202,1.5325430696942415,33.53129089138579,1.1061276935228892,0.21524732922616321
36,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,1397b_a.smc,AK: Anchorage;NOAA Weather Fac,UP,-32768,-32768,200.0,0.005,32600,0.007438124362895006,0.007404925693048309,0.011525102080424168,0.011153334542996819,0.0027858108491234466,0.658393644962947,37.02323465630248,0.7878202938422539,0.1586554767802802
37,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,1397c_a.smc,AK: Anchorage;NOAA Weather Fac,90,-32768,-32768,200.0,0.005,32600,0.013771661569826708,0.013714865034525613,0.04174846369853352,0.0841727202985025,0.009448095842585949,1.229242561293948,37.7532250981947,1.0950460329374885,0.31029869776959385
38,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,1731a_a.smc,AK: Anchorage; DOI OAS,90,1,-32768,200.0,0.005,34400,0.012660550458715596,0.012628081477197642,0.03237013500427534,0.05062347625251455,0.007814820585412274,1.0802847897010852,29.504631790423158,1.0616001493849958,0.26129922882303136
39,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,1731b_a.smc,AK: Anchorage; DOI OAS,360,-32768,-32768,200.0,0.005,34400,0.02281651376146789,0.022847286040892666,0.036702981933845774,0.09241912838775422,0.01457652354175044,1.5059449493274797,33.52800604150592,1.0601760118763872,0.1637561893419878
40,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,1731c_a.smc,AK: Anchorage; DOI OAS,UP,-32768,-32768,200.0,0.005,34400,0.007687155963302752,0.007659467452049122,0.014551017249999446,0.01151587033522178,0.0030582642395144783,0.7049504280547758,35.27266501881359,1.2562720945260015,0.1936536884097145
