q_log10,rmse_log,coverage_event_equal,p_false_safe,p_false_safe_u95,beta_fs_cons,p_false_unsafe,conditional_miss_event_mean,conditional_miss_pooled,n_unsafe_rows,n_events_with_unsafe,n_test_rows,n_test_events,partition_seed,rep,N,model,alpha
0.24856274115014632,0.25467079143945637,0.8284810241841492,0.010566907051282052,0.02100360576923077,2.033448698881048,0.05357572115384616,0.26139132553606237,0.2777777777777778,234,3,3616,8,9100,2,2000,scratch_mlp,0.025
0.35585395600990166,1.9310551185846956,0.8363472465034965,0.014242788461538463,0.028665865384615383,1.9007731624000475,0.0644931891025641,0.36019736842105265,0.38461538461538464,234,3,3616,8,9100,3,500,ridge_direct,0.025
0.21001831161427065,0.18878034785075376,0.7732442817599068,0.0032852564102564103,0.006891025641025641,2.4628943687847418,0.05452724358974359,0.09649122807017545,0.09401709401709402,234,3,3616,8,9100,3,500,lgbm_direct,0.025
0.1818281625006115,0.18425857395913306,0.6871632794289044,0.0038060897435897435,0.008814102564102564,2.373336302644392,0.039623397435897434,0.11732456140350878,0.1111111111111111,234,3,3616,8,9100,3,500,xgb_direct,0.025
0.3988551952227306,2.764418228567899,0.8531097027972028,0.02291666666666667,0.046875,1.6759397227734436,0.07949919871794871,0.46271929824561403,0.5726495726495726,234,3,3616,8,9100,3,500,scratch_mlp,0.025
0.3411234262900149,1.7299275167713493,0.8077740748834499,0.010917467948717948,0.02393830128205128,1.9784620780828037,0.07863581730769231,0.3086622807017544,0.3076923076923077,234,3,3616,8,9100,3,2000,ridge_direct,0.025
0.15166456052681987,0.17326161119480343,0.6136871722027972,0.010036057692307691,0.020993589743589745,2.0336471977756783,0.02097355769230769,0.2651072124756335,0.26495726495726496,234,3,3616,8,9100,3,2000,lgbm_direct,0.025
0.1404276142913763,0.17202706992244302,0.5872889350233099,0.009635416666666667,0.02005208333333333,2.0526743980481386,0.021554487179487183,0.26072124756335285,0.2564102564102564,234,3,3616,8,9100,3,2000,xgb_direct,0.025
0.2602407435752778,1.050301660857434,0.8094671474358974,0.012960737179487179,0.02885616987179487,1.8978765984291188,0.041987179487179484,0.2989461500974659,0.3333333333333333,234,3,3616,8,9100,3,2000,scratch_mlp,0.025
0.38193158647178294,1.231312495554527,0.826602381993007,0.004186698717948718,0.01015625,2.3205248912297582,0.11168870192307692,0.14418859649122806,0.1282051282051282,234,3,3616,8,9100,4,500,ridge_direct,0.025
